Study Id,Reviewer,Did the study avoid inappropriate exclusions?,"","",Did the study avoid inappropriate exclusions? for All outcomes,"","",Was a case control design avoided?,"","",Was a case-control design avoided?,"","",Was a consecutive or random sample of participants enrolled?,"","",Was a consecutive or random sample of patients enrolled?,"","",Was the comparator blood pressure device used the same way for all patients?,"","",Was the interval between CNAP and comparator BP measurement devices the same for all patients and repeated measurements,"","",Was the interval between CNAP and comparator BP measurement devices the same for all patients and repeated measurements?,"","",Were CNAP results being interpreted without knowledge of the results of the comparator?,"","",Were CNAP results being interpreted without knowledge of the results of the comparator? for All outcomes,"","",Were all patients included in the analysis?,"","",Were comparator blood pressure results interpreted without knowledge of CNAP measurements?,"","",Were repeated measurements taken into account in the Bland-Altman analysis?,"","",Were the CNAP device measurements performed accurately?,"","",Were the comparator measures performed accurately?,"","",What was the overall risk of bias associated with the conduct of interpretation of comparator blood pressure measurements?,"","",What was the overall risk of bias associated with the conduct or interpretation of CNAP results?,"","",What was the overall risk of bias associated with the participant flow?,"","",What was the overall risk of bias associated with the selection of participants?,"","",What was the overall risk of bias associated with the selection of participants? for All outcomes,"",""
"","",Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments
Saugel 2012,Aaron,"","","",low,"sion criteria for enrollment in the study were age less than 18 years, presence or history of an arteriovenous shunt, anatomical abnormalities or injuries at the sensor appli- cation site, and known sensitivity to pressure stimuli such as pressure urticaria.","
","","","",low,"","","","","",unclear,"The presence of a 5-French 20-cm arterial catheter (Pul- siocath; Pulsion Medical Systems, Munich, Germany) placed in the abdominal aorta through the femoral artery for invasive BP measurement unrelated to the study was mandatory for enrollment in the study. In accordance with the limits of the calibration algorithms of the T-Line Ò TL- 200 device, the patients’ body weight and height needed to be 40–180 kg and 137–198 cm, respectively. Exclu-","
",low,"","","","","",low,we assessed BP values using the T-Line Ò TL-200 device for a total of 30 min (3 times 10 min within a time period of 60 min) and compared them to the simultaneously assessed invasive BP values.,"
","","","",low,"For data extraction, continuously measured beat-to-beat SAP, MAP, DAP, and pulse pressure (PP) values simul- taneously obtained using the arterial line and the T-Line Ò TL-200 device were transferred from the T-Line Ò TL-200 monitor to a computer with analyzing software using an Ethernet connection. As described before, the BP vari- ables were recorded as ‘‘log ﬁles’’ during study measurements and BP data were extracted resulting in a beat-to-beat report of BP variables","
",high,"","",low,"","",low,The agreement of BP mea- surements using the T-Line Ò TL-200 system compared to invasively determined BP was assessed by Bland–Altman plots for repeated measurements [7].,"
",low,Determination of BP with the T-Line Ò TL-200 was per- formed according to the manufacturer’s instructions.,"
",low,"","",low,"","",low,"","",high,"of all changes. Results Patients <b>Forty-one patients were eligible for enrollment in the present study. In ﬁve patients informed consent could not be obtained. In addition, a few patients had to be excluded from the analysis due to data recording problems: In ﬁve patients, the BP signal obtained from the arterial catheter was not recorded correctly beat-by-beat by the T-Line Ò monitor because of a technical error. In two patients, BP measurements could not be compared because of a false arterial line signal due to an overdamped arterial BP waveform and catheter clotting. Data from one patient were excluded from the analysis because excessive arm movement during the measurement procedure induced artifacts in the BP signal. Finally, data from 28 patients were available for analysis. 
Demographic data and</b> clinical characteristics including hemodynamic variables","
","","","",unclear,"",""
Saugel 2012,Navpreet,"","","",low,"Exclu- sion criteria for enrollment in the study were age less than 18 years, presence or history of an arteriovenous shunt, anatomical abnormalities or injuries at the sensor appli- cation site, and known sensitivity to pressure stimuli such as pressure urticaria.","
","","","",low,"","","","","",unclear,"","",low,"","","","","",low,we assessed BP values using the T-Line Ò TL-200 device for a total of 30 min (3 times 10 min within a time period of 60 min) and compared them to the simultaneously assessed invasive BP values.,"
","","","",low,"For data extraction, continuously measured beat-to-beat SAP, MAP, DAP, and pulse pressure (PP) values simul- taneously obtained using the arterial line and the T-Line Ò TL-200 device were transferred from the T-Line Ò TL-200 monitor to a computer with analyzing software using an Ethernet connection. As described before, the BP vari- ables were recorded as ‘‘log ﬁles’’ during study measurements and BP data were extracted resulting in a beat-to-beat report of BP variables","
",high,"In ﬁve patients, the BP signal obtained from the arterial catheter was not recorded correctly beat-by-beat by the T-Line Ò monitor because of a technical error. In two patients, BP measurements could not be compared because of a false arterial line signal due to an overdamped arterial BP waveform and catheter clotting. Data from one patient were excluded from the analysis because excessive arm movement during the measurement procedure induced artifacts in the BP signal.","
",low,"","",high,"","",low,Determination of BP with the T-Line Ò TL-200 was per- formed according to the manufacturer’s instructions.,"
",low,"5-French 20-cm arterial catheter (Pul- siocath; Pulsion Medical Systems, Munich, Germany) placed in the abdominal aorta through the femoral artery for invasive BP measurement","
",low,"","",low,"","",high,"","","","","",low,"",""
Saugel 2012,Consensus,"","","",low,"Exclu- sion criteria for enrollment in the study were age less than 18 years, presence or history of an arteriovenous shunt, anatomical abnormalities or injuries at the sensor appli- cation site, and known sensitivity to pressure stimuli such as pressure urticaria.","
","","","",low,"","","","","",unclear,"The presence of a 5-French 20-cm arterial catheter (Pul- siocath; Pulsion Medical Systems, Munich, Germany) placed in the abdominal aorta through the femoral artery for invasive BP measurement unrelated to the study was mandatory for enrollment in the study. In accordance with the limits of the calibration algorithms of the T-Line Ò TL- 200 device, the patients’ body weight and height needed to be 40–180 kg and 137–198 cm, respectively. Exclu-","
",low,"","","","","",low,we assessed BP values using the T-Line Ò TL-200 device for a total of 30 min (3 times 10 min within a time period of 60 min) and compared them to the simultaneously assessed invasive BP values.,"
","","","",low,"For data extraction, continuously measured beat-to-beat SAP, MAP, DAP, and pulse pressure (PP) values simul- taneously obtained using the arterial line and the T-Line Ò TL-200 device were transferred from the T-Line Ò TL-200 monitor to a computer with analyzing software using an Ethernet connection. As described before, the BP vari- ables were recorded as ‘‘log ﬁles’’ during study measurements and BP data were extracted resulting in a beat-to-beat report of BP variables","
",high,"In ﬁve patients, the BP signal obtained from the arterial catheter was not recorded correctly beat-by-beat by the T-Line Ò monitor because of a technical error. In two patients, BP measurements could not be compared because of a false arterial line signal due to an overdamped arterial BP waveform and catheter clotting. Data from one patient were excluded from the analysis because excessive arm movement during the measurement procedure induced artifacts in the BP signal.","
",low,"","",low,The agreement of BP mea- surements using the T-Line Ò TL-200 system compared to invasively determined BP was assessed by Bland–Altman plots for repeated measurements [7].,"
",low,Determination of BP with the T-Line Ò TL-200 was per- formed according to the manufacturer’s instructions.,"
",low,"5-French 20-cm arterial catheter (Pul- siocath; Pulsion Medical Systems, Munich, Germany) placed in the abdominal aorta through the femoral artery for invasive BP measurement","
",low,"","",low,"","",high,"of all changes. Results Patients <b>Forty-one patients were eligible for enrollment in the present study. In ﬁve patients informed consent could not be obtained. In addition, a few patients had to be excluded from the analysis due to data recording problems: In ﬁve patients, the BP signal obtained from the arterial catheter was not recorded correctly beat-by-beat by the T-Line Ò monitor because of a technical error. In two patients, BP measurements could not be compared because of a false arterial line signal due to an overdamped arterial BP waveform and catheter clotting. Data from one patient were excluded from the analysis because excessive arm movement during the measurement procedure induced artifacts in the BP signal. Finally, data from 28 patients were available for analysis. 
Demographic data and</b> clinical characteristics including hemodynamic variables","
","","","",unclear,"",""
Fischer 2012,Aaron,"","","",low,"Patients undergoing emergency surgery (,24 h), redo surgery, off-pump coronary artery bypass grafting, and complex, unusual procedures or not re- quiring advanced haemodynamic monitoring were not included in the study. Patients with abnormalities in post- operative cardiac rhythm were excluded from the study.","
","","","",low,"","","","","",high,"",No randomization,low,"","","","","",low,All measurements were performed over a 5 s time interval and then averaged. Bolus,"
","","","",high,"","",low,"The power analysis showed that 190 comparative data points of mean arterial pressure (38 sub- jects) were necessary to detect a difference between sample means of 5 mm Hg [5% type I error rate, 10% type II error rate, expected standard deviation ( SD ) at 15 mm Hg for both methods]. On the basis of a previous report con- ducted in the setting of cardiac surgery, 17 we postulated that the overall success rate of ﬁnger arterial pressure mon- itoring would be nearly 75%. Thus, we decided to include 50 subjects in the study.
(RockWare, Golden, CO, USA). Results <b>Six (12%) subjects were excluded from the analysis because 
of the inability to obtain a reliable photoplethysmographic 
signal, despite</b> multiple attempts with different sized","

",high,"","",low,"Because we per- formed multiple measurements in the same subjects, we replaced the classic Bland –Altman analysis","
",low,"The invasive radial pressure was recorded at a frequency of 14 Hz using the standard equipment (Marquette Solar 8000, GE Healthcare, Bucks, UK). The signal quality of intra-arterial pressure was checked by both visual inspection of the wave- form and a square wave test. 19 The Pulsiocath thermodilution catheter was connected to the standalone PiCCO 2 computer PC8500 version 2.0 (Pulsion Medical Systems, Munich, Germany). All pressure monitors were zeroed at the midaxil- lary line. CI measurement was performed by a triplicate 15 ml ice-cold normal saline injection through the central venous catheter (transpulmonary thermodilution). 20","
",low,"","",high,"","",high,"","",high,"",No randomization. ,"","","",high,"Patients undergoing conventional cardiac surgery with car- diopulmonary bypass (coronary artery bypass grafting, aortic and/or mitral valve replacement or repair, and com- bined cardiac surgery) and requiring advanced haemo- dynamic monitoring (transpulmonary thermodilution) were included in the study.","
"
Fischer 2012,Navpreet,"","","",low,"Patients undergoing emergency surgery (,24 h), redo surgery, off-pump coronary artery bypass grafting, and complex, unusual procedures or not re- quiring advanced haemodynamic monitoring were not included in the study. Patients with abnormalities in post- operative cardiac rhythm were excluded from the study.","
","","","",low,"","","","","",low,Fifty consecutive adult subjects were prospectively enrolled,"
",low,"","","","","",low,"Five consecutive sets of measurements were recorded for each subject during a 4 h period: at the arrival in the ICU (T0), and at 50–70 min (T1), 110 –130 min (T2), 170–190 min (T3), and 230–240 min (T4) after arrival in the ICU.","
","","","",low,"Sim- ultaneous comparative systolic, diastolic, and mean blood pressures were collected from the invasive radial catheter and the Nexﬁn. All measurements were performed over a 5 s time interval and then averaged.","
",high,Six (12%) subjects were excluded from the analysis because of the inability to obtain a reliable photoplethysmographic signal.,"
",low,"","",low,Bland –Altman analysis between ( A ) arterial invasive and photoplethysmographic systolic arterial pressure (220 paired data points); ( B ) arterial invasive and photoplethysmographic diastolic arterial pressure (220 paired data points); ( C ) arterial invasive and photoplethysmo- graphic mean arterial pressure (220 paired data points);,"
",low,"An appropriate ﬁnger cuff was applied to the middle phalanx of the second or third ﬁnger, according to the manufacturer’s recommendations.","
",low,"For each enrolled subject, a radial artery catheter (Leadercath 20 G, Vygon, Ecouen, France),","
",low,"","",low,"","",high,"","","","","",low,"Fifty consecutive adult subjects admitted to the cardiac surgical intensive care unit (ICU) after conventional cardiac surgery with cardiopulmonary bypass were investi- gated at the Teaching University Hospital of Caen (Caen, France) from March to July 2011.","
"
Fischer 2012,Consensus,"","","",low,"","","","","",low,"","","","","",high,"",No randomization,low,"","","","","",low,All measurements were performed over a 5 s time interval and then averaged. Bolus,"
","","","","","","",low,"(RockWare, Golden, CO, USA). Results <b>Six (12%) subjects were excluded from the analysis because 
of the inability to obtain a reliable photoplethysmographic 
signal, despite</b> multiple attempts with different sized
The power analysis showed that 190 comparative data points of mean arterial pressure (38 sub- jects) were necessary to detect a difference between sample means of 5 mm Hg [5% type I error rate, 10% type II error rate, expected standard deviation ( SD ) at 15 mm Hg for both methods]. On the basis of a previous report con- ducted in the setting of cardiac surgery, 17 we postulated that the overall success rate of ﬁnger arterial pressure mon- itoring would be nearly 75%. Thus, we decided to include 50 subjects in the study.","

",high,"","",high,Bland –Altman analysis between ( A ) arterial invasive and photoplethysmographic systolic arterial pressure (220 paired data points); ( B ) arterial invasive and photoplethysmographic diastolic arterial pressure (220 paired data points); ( C ) arterial invasive and photoplethysmo- graphic mean arterial pressure (220 paired data points);,"
",low,"The invasive radial pressure was recorded at a frequency of 14 Hz using the standard equipment (Marquette Solar 8000, GE Healthcare, Bucks, UK). The signal quality of intra-arterial pressure was checked by both visual inspection of the wave- form and a square wave test. 19 The Pulsiocath thermodilution catheter was connected to the standalone PiCCO 2 computer PC8500 version 2.0 (Pulsion Medical Systems, Munich, Germany). All pressure monitors were zeroed at the midaxil- lary line. CI measurement was performed by a triplicate 15 ml ice-cold normal saline injection through the central venous catheter (transpulmonary thermodilution). 20","
",low,"For each enrolled subject, a radial artery catheter (Leadercath 20 G, Vygon, Ecouen, France),","
",high,"","",high,"","",high,"",No randomization.,"","","",high,"Patients undergoing conventional cardiac surgery with car- diopulmonary bypass (coronary artery bypass grafting, aortic and/or mitral valve replacement or repair, and com- bined cardiac surgery) and requiring advanced haemo- dynamic monitoring (transpulmonary thermodilution) were included in the study.","
"
Hohn 2013,Aaron,"","","",low,"","","","","",low,"","","","","",low,"","",low,"","","","","",low,"","","","","",low,"the deﬁned time points, systolic, mean arterial and dia- stolic pressure were read out simultaneously only once from both devices. Five data pairs for each patient at P0 (after cali- bration of the non-invasive blood pressure), P1 (after 60 min), P2 (after 120 min), P3 (after 180 min), and P4 (after 240 min) comparing both methods were documented.","
",low,"","",low,"","",low,Bland and Altman with a speciﬁc calculation for repeated measures in the same subject.,"
",low,"The Nexﬁn w device was placed on the middle or index ﬁnger of the left or right hand at the investigator’s discretion and according to the manufacturer’s recommendations. 15 The arterial system (CODAN pvb Medical GmbH, Lensahn, Germany) was zeroed to atmospheric pressure at the level of the midaxillary position. The arterial waveform was inspected visually and the system was ﬂushed in regular intervals, and 5 min before each measurement (P0 –P4) to assess an adequate resonance frequency.","
",low,"","",low,"","",low,"","",low,"","","","","",low,"",""
Hohn 2013,Navpreet,"","","",low,"Patients with marked haemo- dynamic instability, fast changes in heart rhythm or blood pressure, cardiac arrhythmia, and clinical ischaemia of the ﬁngers were considered ineligible for non-invasive monitor- ing.","
","","","",low,"","","","","",low,"we enrolled consecutively 25 adult, critically ill patients of the operative ICU at the Hospital Merheim","
",high,"were the left or right femoral (8 patients; 18 G, 10 cm) or radial (17 patients; 20 G, 8 cm) artery.","
some had femoral and others had radial sites. ","","","",low,"Five data pairs for each patient at P0 (after cali- bration of the non-invasive blood pressure), P1 (after 60 min), P2 (after 120 min), P3 (after 180 min), and P4 (after 240 min) comparing both methods were documented.","
","","","",low,"At the deﬁned time points, systolic, mean arterial and dia- stolic pressure were read out simultaneously only once from both devices.","
",low,"","",low,"","",low,limits of agreement (LOA) [bias (2.0 SD )] were calculated according to the statistical method of Bland and Altman with a speciﬁc calculation for repeated measures in the same subject.,"
Table 3 ",low,The Nexﬁn w device was placed on the middle or index ﬁnger of the left or right hand at the investigator’s discretion and according to the manufacturer’s recommendations.,"
",low,"The arterial system (CODAN pvb Medical GmbH, Lensahn, Germany) was zeroed to atmospheric pressure at the level of the midaxillary position. The arterial waveform was inspected visually and the system was ﬂushed in regular intervals, and 5 min before each measurement (P0 –P4) to assess an adequate resonance frequency. 16","
",low,"","",low,"","",low,"","","","","",low,"",""
Hohn 2013,Consensus,"","","","","","","","","","","","","","","",low,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",high,"","","","","","","","","","","","","",""
Martina 2014,Aaron,"","","",low,"","","","","",low,"","","","","",unclear,"","",low,"","","","","",low,"","","","","",low,"","",low,"","",low,"","",high,"","",low,"The netherlands) (Figure 1). 10,11 <b>noninvasive arterial pressure is based on a brachial recon- 
struction from the finger arterial pressure measured by the fin- 
ger cuff. To obtain nAP, an appropriate finger cuff size was 
applied to the mid-phalanx of a finger of the hand on the side 
of the invasive measurements. To compensate for hydrostatic 
errors due to level differences between the finger and the heart, 
the heart reference system of the nexfin monitor was used. The 
finger side of the heart reference system was fixated next to the 
measurement finger and the heart side at the arterial pressure 
transducer level. 12 In the first minute of measurement, the posi- 
tions of the finger cuff and pressure transducer were checked 
for possible level errors and signal quality, and if necessary, 
readjusted. If no nAP signal could be obtained, the cuff was 
switched to another finger and nAP measurement was reiniti- 
ated. noninvasive arterial pressure is periodically calibrated by 
the Physiocal algorithm. 13 During these short calibrations, nAP 
is temporarily interrupted for two (or more if required) beats. 
The analog signals of nAP and IAP were sampled at 200 hz 
and stored on a hard disk. For each patient recording, 600 sec- 
onds periods of matched nAP and IAP values were selected.</b> Systolic pressure (SYS), diastolic pressure","
",low,"","",low,"","",low,"","",low,"","","","","",unclear,"",""
Martina 2014,Navpreet,"","","",unclear,"","","","","",low,"","","","","",unclear,"","",low,"","","","","",low,"Systolic pressure (SYS), diastolic pressure (DIA), mean arterial pressure (MAP), and pulse pressure (PP) values were deter- mined for subsections of 2 seconds (since pulsatility may or may not be present in the blood pressure) of the IAP and nAP recordings, resulting in 300 consecutive datasets per patient.","
","","","",low,"Simultaneously, noninvasive arterial pres- sure (nAP) was measured beat-to-beat by the nexfin monitor","
",low,"II and 1 hVAD). Thus, <b>data of 29 patients were available for analysis 
(93% success rate).</b> The ranges of IAP were","
",low,"(or more if required) beats. <b>The analog signals of nAP and IAP were sampled at 200 hz 
and stored on a hard disk. For each patient recording, 600 sec- 
onds periods of matched nAP and IAP values were selected.</b> Systolic pressure (SYS), diastolic pressure","
",high,"MARTINA et Al. of the <b>300 nAP-IAP differences of each patient represent the 
vertical coordinate in the Bland–Altman plot</b> where the SD were measures","
",low,"obtain nAP, an appropriate finger cuff size was applied to the mid-phalanx of a finger of the hand on the side of the invasive measurements.","
",low,"To avoid inadequate invasive arterial blood pressure wave shape, the invasive arterial catheter was peri- odically flushed.","
",low,"","",low,"","",low,"","","","","",unclear,"",""
Martina 2014,Consensus,"","","","","","","","","",low,"","","","","",unclear,"","",low,"","","","","",low,"Systolic pressure (SYS), diastolic pressure (DIA), mean arterial pressure (MAP), and pulse pressure (PP) values were deter- mined for subsections of 2 seconds (since pulsatility may or may not be present in the blood pressure) of the IAP and nAP recordings, resulting in 300 consecutive datasets per patient.","
","","","",low,"Simultaneously, noninvasive arterial pres- sure (nAP) was measured beat-to-beat by the nexfin monitor","
",low,"II and 1 hVAD). Thus, <b>data of 29 patients were available for analysis 
(93% success rate).</b> The ranges of IAP were","
",low,"(or more if required) beats. <b>The analog signals of nAP and IAP were sampled at 200 hz 
and stored on a hard disk. For each patient recording, 600 sec- 
onds periods of matched nAP and IAP values were selected.</b> Systolic pressure (SYS), diastolic pressure","
",high,"MARTINA et Al. of the <b>300 nAP-IAP differences of each patient represent the 
vertical coordinate in the Bland–Altman plot</b> where the SD were measures","
",low,"The netherlands) (Figure 1). 10,11 <b>noninvasive arterial pressure is based on a brachial recon- 
struction from the finger arterial pressure measured by the fin- 
ger cuff. To obtain nAP, an appropriate finger cuff size was 
applied to the mid-phalanx of a finger of the hand on the side 
of the invasive measurements. To compensate for hydrostatic 
errors due to level differences between the finger and the heart, 
the heart reference system of the nexfin monitor was used. The 
finger side of the heart reference system was fixated next to the 
measurement finger and the heart side at the arterial pressure 
transducer level. 12 In the first minute of measurement, the posi- 
tions of the finger cuff and pressure transducer were checked 
for possible level errors and signal quality, and if necessary, 
readjusted. If no nAP signal could be obtained, the cuff was 
switched to another finger and nAP measurement was reiniti- 
ated. noninvasive arterial pressure is periodically calibrated by 
the Physiocal algorithm. 13 During these short calibrations, nAP 
is temporarily interrupted for two (or more if required) beats. 
The analog signals of nAP and IAP were sampled at 200 hz 
and stored on a hard disk. For each patient recording, 600 sec- 
onds periods of matched nAP and IAP values were selected.</b> Systolic pressure (SYS), diastolic pressure","
",low,"To avoid inadequate invasive arterial blood pressure wave shape, the invasive arterial catheter was peri- odically flushed.","
",low,"","",low,"","",low,"","","","","",unclear,"",""
Ameloot 2014,Aaron,"","","",low,"were included in this study. <b>Inclusion criteria were 

hemodynamic instability with need for continuous hemodynamic monitoring.</b> The severity of critical illness","
","","","",low,"","","","","",unclear,"Methods Study population <b>47 critically ill patients that were admitted to the intensive care unit of the Ziekenhuis 

Netwerk Antwerpen (ZNA) Stuivenberg Hospital in Antwerp, Belgium between August 

2010 and November 2010 were included in this study.</b> Inclusion criteria were hemodynamic instability","
",low,"","","","","",low,"","","","","",high,"During the 8­hour study period, mean blood pressures were recorded continuously via Nexfin (MAP nex ) and PiCCO (MAP fem ) and registered by hand every 2 hours (0­2­4­6­8 hr., in total 3 x 225 paired measurements).","
",low,"",2 patients excluded due to inability to measure Nexfin,high,"","",low,"","Although there was no mention in the statistical analysis section about how repeated measures were accounted for in the analysis, we can tell from the plot (Figure 1 - panel B) that there are only 45 data points (not 225).",low,"","",low,"","",high,"","",high,"","",low,"","","","","",low,"",""
Ameloot 2014,Navpreet,"","","",low,We found in a mix of medical­surgical­burns ICU patients,"
","","","",low,"",Not case control,"","","",low,"Methods Study population <b>47 critically ill patients that were admitted to the intensive care unit of the Ziekenhuis 

Netwerk Antwerpen (ZNA) Stuivenberg Hospital in Antwerp, Belgium between August 

2010 and November 2010 were included in this study. Inclusion</b> criteria were hemodynamic instability with","
",low,"","","","","",low,"","","","","",low,"During the 8­hour study period, mean blood pressures were recorded continuously via Nexfin (MAP nex ) and PiCCO (MAP fem ) and registered by hand every 2 hours (0­2­4­6­8 hr., in total 3 x 225 paired measurements).","
",low,In 2 patients (4.3%) it was impossible to obtain Nexfin ® values from any of 10 fingers and they were therefore excluded from final analysis.,"
",low,"During the 8­hour study period, mean blood pressures were recorded continuously via Nexfin (MAP nex ) and PiCCO (MAP fem ) and registered by hand every 2 hours (0­2­4­6­8 hr., in total 3 x 225 paired measurements).","
",low,"","",low,"Netherlands) is based on the <b>non­invasive measurement of finger arterial pressure by an inflatable cuff around the 

middle phalanx of the finger. The pulsating finger artery is clamped to a constant volume by applying a varying counter pressure equivalent to the arterial pressure using a built­in photoelectric plethysmograph and an automatic algorithm (Physiocal).</b> The resulting finger arterial pressure","
",low,A PiCCO catheter (Pulsiocath PV2015L20) was placed in the left or right femoral artery in all patients.,"
",low,"","",low,"","",low,"","","","","",low,"",""
Ameloot 2014,Consensus,"","","",low,"We found in a mix of medical­surgical­burns ICU patients
were included in this study. <b>Inclusion criteria were 

hemodynamic instability with need for continuous hemodynamic monitoring.</b> The severity of critical illness","

","","","",low,"","","","","",unclear,"Methods Study population <b>47 critically ill patients that were admitted to the intensive care unit of the Ziekenhuis 

Netwerk Antwerpen (ZNA) Stuivenberg Hospital in Antwerp, Belgium between August 

2010 and November 2010 were included in this study. Inclusion</b> criteria were hemodynamic instability with","
",low,"","","","","",low,"","","","","",high,"During the 8­hour study period, mean blood pressures were recorded continuously via Nexfin (MAP nex ) and PiCCO (MAP fem ) and registered by hand every 2 hours (0­2­4­6­8 hr., in total 3 x 225 paired measurements).","
",low,"",2 patients excluded due to inability to measure Nexfin,high,"During the 8­hour study period, mean blood pressures were recorded continuously via Nexfin (MAP nex ) and PiCCO (MAP fem ) and registered by hand every 2 hours (0­2­4­6­8 hr., in total 3 x 225 paired measurements).","
",low,"","Although there was no mention in the statistical analysis section about how repeated measures were accounted for in the analysis, we can tell from the plot (Figure 1 - panel B) that there are only 45 data points (not 225).",low,"Netherlands) is based on the <b>non­invasive measurement of finger arterial pressure by an inflatable cuff around the 

middle phalanx of the finger. The pulsating finger artery is clamped to a constant volume by applying a varying counter pressure equivalent to the arterial pressure using a built­in photoelectric plethysmograph and an automatic algorithm (Physiocal).</b> The resulting finger arterial pressure","
",low,A PiCCO catheter (Pulsiocath PV2015L20) was placed in the left or right femoral artery in all patients.,"
",high,"","",high,"","",low,"","","","","",low,"",""
Ilies 2015,Aaron,"","","",low,"","","","","",low,"","","","","",unclear,Inclusion criteria were patients with American Society of Anaesthesiologists (ASA) physiologi- cal status of III or IV who had a radial arterial catheter and were receiving mechanical ventilation of their lungs.,"
",low,"","","","","",low,"","","","","",low,"After calibration of CNAP, data collection from both devices was started using a laptop computer with software (Datex Ohmeda S5 Collect; GE Healthcare, Helsinki, Finland) that allows the export of systolic arterial pressure, diastolic arterial pressure and MAP (SAP, DAP, MAP) of both devices with a sampling rate of 100 Hz. Automated","
",unclear,"Six patients were excluded, four because of violations of the study protocol regarding the calibration process and two because of data sampling issues. Six patients required radial arterial grafting.","
",low,"","",low,Bland and Altman 26 analysis for repeated measures.,"
",low,"The CIAP catheter and the oscillometric cuff for CNAP calibration were on the ipsilateral arm and the ﬁnger cuffs on the contralateral arm. When the radial artery was taken for coronary artery bypass graft (CABG), the ipsilateral arm was used for CNAP cuffs and CIAP, whereas the calibration cuff was contralateral. The index and middle ﬁnger were used for the ﬁnger cuffs. Measuring time was predeﬁned as 30 min.","
",low,"","",low,"","",low,"","",unclear,"","","","","",unclear,"",""
Ilies 2015,Consensus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ilies 2015,Navpreet,"","","",low,"mechanical ventilation of their lungs. <b>Exclusion criteria were emergencies, complete heart 
block, age less than 18 years, arterial pressure difference 
more than 10 mmHg between arms and marked oedema</b> of the ﬁngers. Patients were","
","","","",low,"","","","","",unclear,"","",high,"The CIAP catheter and the oscillometric cuff for CNAP calibration were on the ipsilateral arm and the ﬁnger cuffs on the contralateral arm. When the radial artery was taken for coronary artery bypass graft (CABG), the ipsilateral arm was used for CNAP cuffs and CIAP, whereas the calibration cuff was contralateral.","
","","","",low,Measuring time was predeﬁned as 30 min.,"
","","","",low,"Using a MATLAB randomis- ation script, 150 random samples of simultaneous CNAP and CIAP readings from each patient were compared.","
",low,"From 110 enrolled patients, 104 were included.","
",low,"","",high,Agreement of CIAP and CNAP was assessed using Bland and Altman 26 analysis for repeated measures.,"
Fig 1 shows plot of all measurements. ",low,The index and middle ﬁnger were used for the ﬁnger cuffs.,"
",low,"radial arterial catheter (20G, 8 cm; Arrow Intl., Reading, Pennsylvania, USA) and transducer (DPT-6000; CODAN pvb Critical Care GmbH, Forstinning, Germany) were used and the damp- ing coefﬁcient and natural frequency of the system was tested using the fast ﬂush test","
",low,"","",low,"","",low,"","","","","",low,"",""
